,id,lonlat,tags.power,tags.branch,tags.operator,tags.manufacturer,tags.generator:type,tags.generator:method,tags.generator:source,power_output_MW,tags.source,tags.generator:alt_source,tags.name,tags.name:fr,Type,tags.operator:ar,tags.operator:wikidata,tags.operator:wikipedia,tags.addr:city,tags.generator:place,tags.addr:city:ar,tags.area,tags.building:levels,tags.fence_type,tags.plant:source,tags.height,tags.substation,Country,tags.manufacturer:type,tags.ref,tags.FIXME,tags.addr:village,tags.tag:power,tags.amenity,tags.X,tags.Y,tags.code,tags.etat,tags.type,tags.photo,tags.village,tags.maitre_ouv,tags.note,tags.short_name,tags.contact:phone,tags.source:date,tags.project:eurosha_2012,tags.man_made,tags.operator_type,tags.generator:output:steam,tags.generator:output:vacuum,tags.generator:output:battery_charging,tags.beds,tags.owner,tags.shower,tags.toilets,tags.heliport,tags.population,tags.wheelchair,tags.operator:type,tags.building:status,tags.population:date,tags.staff_count:nurses,tags.is_in:health_level6,tags.is_in:health_level8,tags.staff_count:chemist,tags.staff_count:doctors,tags.health_services:description,tags.content,tags.toilets:status,tags.communication:description,tags.water_source,tags.water_tap:operator,tags.shower:status,tags.url,tags.url_1,tags.source:geometry,tags.source:geometry:date,tags.layer,tags.healthcare,tags.website,tags.location,tags.construction,tags.description,tags.voltage,tags.lit,tags.generator:output:biogas,tags.plant:output:electricity,tags.addr:district,tags.addr:pobox,tags.email,tags.opening_hours,tags.phone,tags.recycling:food_waste,tags.recycling:green_waste,tags.recycling_type,tags.start_date,tags.addr:suburb,tags.addr:community,tags.addr:state,tags.addr:street,tags.building:material,tags.operational_status,tags.projet:eboci,tags.name:de,tags.name:en,tags.wb_pb:id,tags.image:project,tags.image:pointofinterest,tags.generator:output:hot_air,tags.generator:output:cold_air,tags.generator:output:hot_water,tags.generator:output:cold_water,tags.generator:output:compressed_air,tags.comment,tags.building:roof,tags.landuse,tags.image,tags.mapillary,tags.int_name,tags.designation,tags.ele,tags.rotor:diameter,tags.rooms,tags.stars,tags.tourism,tags.payment:visa,tags.internet_access,tags.payment:mastercard,tags.project:mappingforniger,tags.brand,tags.addr:housename,tags.addr:postcode,tags.addr:housenumber,tags.generator,tags.name:cn,tags.model,tags.manufacturer:website,tags.wikidata,tags.wikipedia,tags.national_key_point,tags.reipppp,tags.colour,tags.power:source,tags.shop,tags.addr:ward,tags.addr:subward,tags.addr:municipality,tags.generator:output:heat,tags.generator:plant,tags.operator:website,tags.operator:wikipedia:ar,tags.addr:settlement,tags.addr:sub_camp,tags.addr:zone,tags.denomination,tags.religion,tags.source:form,tags.place,tags.source_ref,tags.proposed,tags.addr:block,tags.isced,tags.lighting,tags.tree_count,tags.name_centre,tags.social_facility,tags.social_facility:for,tags.plant:method
24,7781362754.0,"[-0.2962660999999942, 27.89532009999997]",generator,,,,gas_turbine,combustion,gas,23.0,https://www.spe.dz/images/PDF/parc-spe-actu.pdf,,,,Node,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,7781384768.0,"[6.981987200000007, 34.50373839999993]",generator,,,,gas_turbine,combustion,gas,140.0,https://www.spe.dz/images/PDF/parc-spe-actu.pdf,,,,Node,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,7781384747.0,"[4.480555100000008, 35.70517079999996]",generator,,,,gas_turbine,combustion,gas,24.0,https://www.spe.dz/images/PDF/parc-spe-actu.pdf,,M'SILA 4,,Node,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,7781384685.0,"[4.879803900000006, 36.650234699999935]",generator,,,,gas_turbine,combustion,gas,23.0,https://www.spe.dz/images/PDF/parc-spe-actu.pdf,,,,Node,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,7781384754.0,"[4.479179300000007, 35.706318399999944]",generator,,,,gas_turbine,combustion,gas,24.0,https://www.spe.dz/images/PDF/parc-spe-actu.pdf,,M'SILA 4,,Node,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,7781384777.0,"[-0.1973622999999928, 35.79863639999992]",generator,,,,gas_turbine,combustion,gas,23.0,https://www.spe.dz/images/PDF/parc-spe-actu.pdf,,,,Node,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,7781384713.0,"[3.3690476000000076, 33.136765099999955]",generator,,,,gas_turbine,combustion,gas,197.0,https://www.spe.dz/images/PDF/parc-spe-actu.pdf,,,,Node,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,7781384694.0,"[-0.29609709999999406, 27.893881099999938]",generator,,,,gas_turbine,combustion,gas,20.0,https://www.spe.dz/images/PDF/parc-spe-actu.pdf,,,,Node,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,7781384717.0,"[3.3458412000000077, 33.131617099999964]",generator,,,,gas_turbine,combustion,gas,100.0,https://www.spe.dz/images/PDF/parc-spe-actu.pdf,,,,Node,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,7781384500.0,"[7.763122900000006, 36.89229509999993]",generator,,,,gas_turbine,combustion,gas,36.0,https://www.spe.dz/images/PDF/parc-spe-actu.pdf,,,,Node,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
