,id,lonlat,tags.power,tags.operator,tags.substation,tags.designation,tags.barrier,tags.addr:city,Type,tags.voltage,tags.name,tags.location,tags.area,tags.branch,tags.rating,tags.frequency,tags.source,tags.building,tags.building:levels,tags.name:ar,tags.note,tags.fixme,tags.name:fr,tags.phases,tags.man_made,tags.street_cabinet,tags.operator:ar,tags.operator:fr,tags.operator:wikidata,tags.operator:wikipedia,tags.wall,tags.height,tags.name:en,tags.building:colour,tags.level,tags.ref,tags.brand,tags.addr:city:ar,tags.substance,tags.gas_insulated,tags.landuse,tags.addr:postcode,tags.addr:suburb,tags.transformer,tags.brand:ar,tags.brand:wikidata,tags.brand:wikipedia,tags.sub,Country,tags.access,tags.disused,tags.addr:street,tags.name:de,tags.name:es,tags.name:it,tags.name:ja,tags.name:nl,tags.name:pl,tags.name:pt,tags.name:ru,tags.name:zh-Hans,tags.name:zh-Hant,tags.alt_name,tags.fence_type,tags.short_name,tags.opening_hours,tags.amenity,tags.project:eurosha_2012,tags.source:date,tags.source_date,tags.building:material,tags.building:condition,tags.proposed,tags.wikidata,tags.wikipedia,tags.generator:output:electricity,tags.roof:shape,tags.description,tags.website,tags.start_date,tags.image,tags.wb_pb:id,tags.wheelchair,tags.is_in:village,tags.operator_type,tags.notes,tags.owner,tags.address,tags.voltage:primary,tags.voltage:secondary,tags.generator:source,tags.operator:website,tags.operator:wikipedia:ar,tags.FIXME,tags.construction,tags.source:voltage,tags.historic,tags.building:prefabricated,tags.surface,tags.emergency_phone,tags.addr:housenumber,tags.phone,tags.source:power,tags.operator:type,tags.industrial,tags.cables,tags.key
108,695838057.0,[ 5.9887789  31.88455394],substation,,industrial,,fence,,Way,66000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,317645796.0,[ 6.78075308 33.30697444],substation,KDL,transmission,,wall,,Way,220000;66000,محطة تخفيض الضغط,,,SONELGAZ,,50,,,,محطة تخفيض الضغط,,,Poste électrique,,,,,,,,,,,,,,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,293132938.0,[ 8.17522946 31.01151432],substation,,industrial,,,,Way,66000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,176932212.0,[ 6.95047259 36.71837818],substation,,transmission,,wall,,Way,400000;22000;66000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,695838027.0,[ 4.75026754 32.17136994],substation,,industrial,,fence,,Way,66000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,311217503.0,[ 5.06230836 34.42579814],substation,SONELGAZ,,,,,Way,30000,,,,,,50,,yes,1,,,,,3,street_cabinet,power,,,,,,,,,,,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,541638745.0,[ 6.97414392 36.86817341],substation,,industrial,,,,Way,66000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,387845900.0,[ 7.17215027 35.46195919],substation,,transmission,,wall,,Way,220000;66000,Khenchela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,174342295.0,[ 0.55601384 35.75424088],substation,الشركة الجزائرية لتسيير شبكة نقل الكهرباء,transmission et distribution,,,,Way,220000,المحطة الكهرباء غليزان 220/60/30 كف,outdoor,,,,,,,,المحطة الكهرباء غليزان 220/60/30 كف,,,poste de Relizane 220/60/30 kv,,,,الشركة الجزائرية لتسيير شبكة نقل الكهرباء,GRTE,,,,,,,,,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,695874668.0,[ 8.03821536 30.83612872],substation,,industrial,,,,Way,66000,,indoor,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
