,bus_id,station_id,voltage,dc,symbol,under_construction,tag_substation,tag_area,lon,lat,geometry,country
550,579310361-1,,132000,False,substation,True,transmission,17420.0,34.72997232205837,0.451412363543185,POINT (34.72997232205837 0.451412363543185),kenya
552,696704120-1,,132000,False,substation,True,transmission,13490.0,39.62420914999998,-0.3794932,POINT (39.62420914999998 -0.3794932),kenya
555,214705999-1,,132000,False,substation,True,transmission,14880.0,27.537941176058393,-29.28431218063846,POINT (27.53794117605839 -29.28431218063846),lesotho
556,294368983-1,,132000,False,substation,True,transmission,3920.0,27.436756236731032,-30.160688005073602,POINT (27.43675623673103 -30.1606880050736),lesotho
557,214470559-1,,132000,False,substation,True,transmission,5940.0,28.49244070752879,-29.108593693702463,POINT (28.49244070752879 -29.10859369370246),lesotho
559,760103720-1,,132000,False,substation,True,transmission,2010.0,28.44978118093401,-28.77653959972362,POINT (28.44978118093401 -28.77653959972362),lesotho
560,214483934-1,,132000,False,substation,True,transmission,12390.0,27.91509219032392,-28.914219395729702,POINT (27.91509219032392 -28.9142193957297),lesotho
561,359245187-1,,132000,False,substation,True,transmission,3400.0,27.335226336481977,-29.807589445952022,POINT (27.33522633648198 -29.80758944595202),lesotho
564,215487225-1,,132000,False,substation,True,transmission,2770.0,28.093222462331223,-29.465248872119027,POINT (28.09322246233122 -29.46524887211903),lesotho
565,170611627-1,,132000,False,substation,True,transmission,1090.0,28.114525722556497,-29.425982178276154,POINT (28.1145257225565 -29.42598217827615),lesotho
567,215491503-1,,132000,False,substation,True,transmission,9170.0,27.562790264989317,-29.406200742655123,POINT (27.56279026498932 -29.40620074265512),lesotho
568,214483935-1,,132000,False,substation,True,transmission,4370.0,28.19855113456613,-28.99469772428081,POINT (28.19855113456613 -28.99469772428081),lesotho
569,172085356-1,,220000,False,substation,True,transmission,28370.0,21.40673781859953,32.49448837132749,POINT (21.40673781859953 32.49448837132749),libya
570,214448787-1,,220000,False,substation,True,transmission,94120.0,12.877668588974533,32.6791923637357,POINT (12.87766858897453 32.6791923637357),libya
571,104969694-1,,220000,False,substation,True,transmission,19010.0,14.222617555246565,32.66778465586313,POINT (14.22261755524656 32.66778465586313),libya
572,181058613-1,,132000,False,substation,True,transmission,2630.0,14.6320361,31.482488200000045,POINT (14.6320361 31.48248820000004),libya
573,177038723-1,,220000,False,substation,True,transmission,32930.0,20.114579333048656,32.03070876916265,POINT (20.11457933304866 32.03070876916265),libya
574,181030545-1,,132000,False,substation,True,transmission,12010.0,14.295935813164276,31.552820474484566,POINT (14.29593581316428 31.55282047448457),libya
575,193503031-1,,220000,False,substation,True,transmission,22270.0,14.397722800076718,27.041275529489315,POINT (14.39772280007672 27.04127552948932),libya
576,224178201-1,,132000,False,substation,True,transmission,12210.0,14.405998650000027,31.76239779999996,POINT (14.40599865000003 31.76239779999996),libya
577,213917891-1,,220000,False,substation,True,transmission,33510.0,14.443158752842988,27.045207358392236,POINT (14.44315875284299 27.04520735839224),libya
578,223679746-1,,400000,False,substation,True,transmission,29220.0,14.529430013596368,27.040400577707967,POINT (14.52943001359637 27.04040057770797),libya
579,102272939-1,,220000,False,substation,True,transmission,16700.0,20.16147275053654,32.104000093879996,POINT (20.16147275053654 32.10400009388),libya
580,180957591-1,,220000,False,substation,True,transmission,36440.0,13.03598915,32.45105285,POINT (13.03598915 32.45105285),libya
581,121506218-1,,400000,False,substation,True,transmission,57280.0,14.29415716214135,32.59383082246432,POINT (14.29415716214135 32.59383082246432),libya
582,121506218-2,,220000,False,substation,True,transmission,57280.0,14.29415716214135,32.59383082246432,POINT (14.29415716214135 32.59383082246432),libya
583,177595710-1,,220000,False,substation,True,transmission,47550.0,15.12455086441176,32.24992291241476,POINT (15.12455086441176 32.24992291241476),libya
584,172185378-1,,220000,False,substation,True,transmission,16840.0,20.555658650000026,32.1668,POINT (20.55565865000003 32.1668),libya
585,194714166-1,,220000,False,substation,True,transmission,41740.0,13.033150036144532,32.156569839050185,POINT (13.03315003614453 32.15656983905019),libya
586,181022450-1,,220000,False,substation,True,transmission,43690.0,13.638090994172849,32.397909871735486,POINT (13.63809099417285 32.39790987173549),libya
587,120090521-1,,220000,False,substation,True,transmission,17150.0,14.419140006240877,32.49712207278645,POINT (14.41914000624088 32.49712207278645),libya
588,223904502-1,,132000,False,substation,True,transmission,2620.0,14.885198342407797,31.665067418107196,POINT (14.8851983424078 31.6650674181072),libya
589,172578742-1,,220000,False,substation,True,transmission,43190.0,14.9760055,31.6588703,POINT (14.9760055 31.6588703),libya
590,180843806-1,,220000,False,substation,True,transmission,50210.0,13.238730786679223,32.42093105601699,POINT (13.23873078667922 32.42093105601699),libya
591,177368453-1,,220000,False,substation,True,transmission,26050.0,23.060876600000046,32.44904775000003,POINT (23.06087660000005 32.44904775000003),libya
592,102271992-1,,220000,False,substation,True,transmission,29250.0,20.09078363834025,31.961627055120204,POINT (20.09078363834025 31.9616270551202),libya
594,702056077-1,,138000,False,substation,True,transmission,2620.0,48.22471154999995,-18.899385650000024,POINT (48.22471154999995 -18.89938565000002),madagascar
595,702056075-1,,138000,False,substation,True,transmission,20470.0,47.600609193449756,-18.932131118244655,POINT (47.60060919344976 -18.93213111824465),madagascar
599,702056076-1,,138000,False,substation,True,transmission,6100.0,47.54009334999996,-18.85235065000002,POINT (47.54009334999996 -18.85235065000002),madagascar
606,306421031-1,,132000,False,substation,True,transmission,7410.0,34.87671584384887,-16.21283123284905,POINT (34.87671584384887 -16.21283123284905),malawi
610,302050336-1,,132000,False,substation,True,transmission,6350.0,34.77717373277934,-15.559547799025943,POINT (34.77717373277934 -15.55954779902594),malawi
612,326542193-1,,132000,False,substation,True,transmission,13120.0,34.59057801998767,-14.442664471802178,POINT (34.59057801998767 -14.44266447180218),malawi
614,306455882-1,,132000,False,substation,True,transmission,19460.0,34.82090108166759,-15.52779640358924,POINT (34.82090108166759 -15.52779640358924),malawi
616,666502995-1,,132000,False,substation,True,transmission,36300.0,34.27584827924129,-12.927530360573632,POINT (34.27584827924129 -12.92753036057363),malawi
621,306460192-1,,132000,False,substation,True,transmission,17960.0,34.99406810581431,-15.835846070947223,POINT (34.99406810581431 -15.83584607094722),malawi
626,301540315-1,,132000,False,substation,True,transmission,34790.0,33.79088505472308,-13.896257392873862,POINT (33.79088505472308 -13.89625739287386),malawi
627,507018217-1,,132000,False,substation,True,transmission,8540.0,34.33140554529,-13.753841634825795,POINT (34.33140554529 -13.7538416348258),malawi
628,668080620-1,,132000,False,substation,True,transmission,1220.0,34.75318823243364,-15.900546429154005,POINT (34.75318823243364 -15.90054642915401),malawi
630,242082257-1,,132000,False,substation,True,transmission,9810.0,34.16979784946265,-11.833333449891276,POINT (34.16979784946265 -11.83333344989128),malawi
635,164699203-1,,225000,False,substation,True,transmission,39420.0,-11.379494567680565,14.378727013260626,POINT (-11.37949456768056 14.37872701326063),mali
641,275506770-1,,225000,False,substation,True,transmission,23850.0,-15.822829381314053,16.56611570136149,POINT (-15.82282938131405 16.56611570136149),mauritania
642,675485868-1,,225000,False,substation,True,transmission,21130.0,-12.474276999103585,14.89028071715844,POINT (-12.47427699910359 14.89028071715844),mauritania
645,143699506-1,,225000,False,substation,True,transmission,18170.0,-5.20119127676902,34.595678296465415,POINT (-5.20119127676902 34.59567829646542),morocco
646,591932584-1,,225000,False,substation,True,transmission,39580.0,-5.611181119663562,31.456897441666285,POINT (-5.611181119663562 31.45689744166629),morocco
648,200915133-1,,225000,False,substation,True,transmission,14500.0,-9.48811835498745,30.354903210057895,POINT (-9.488118354987449 30.35490321005789),morocco
649,200906153-1,,225000,False,substation,True,transmission,49310.0,-7.343702726732195,31.69666692848193,POINT (-7.343702726732195 31.69666692848193),morocco
651,556442569-1,,400000,False,substation,True,transmission,124160.0,-12.989411873763661,27.213827745082405,POINT (-12.98941187376366 27.2138277450824),morocco
652,556442569-2,,225000,False,substation,True,transmission,124160.0,-12.989411873763661,27.213827745082405,POINT (-12.98941187376366 27.2138277450824),morocco
653,131545712-1,,225000,False,substation,True,transmission,23890.0,-5.801059433376555,35.73275769913324,POINT (-5.801059433376555 35.73275769913324),morocco
655,467276407-1,,400000,False,substation,True,transmission,141820.0,-9.320009720298987,30.41450339418943,POINT (-9.320009720298987 30.41450339418943),morocco
656,467276407-2,,225000,False,substation,True,transmission,141820.0,-9.320009720298987,30.41450339418943,POINT (-9.320009720298987 30.41450339418943),morocco
658,131891079-1,,225000,False,substation,True,transmission,63300.0,-6.70900427706831,33.91804099856936,POINT (-6.70900427706831 33.91804099856936),morocco
660,750455880-1,,225000,False,substation,True,transmission,23640.0,-4.971427221630491,34.03815051113725,POINT (-4.971427221630491 34.03815051113725),morocco
661,143628748-1,,225000,False,substation,True,transmission,40810.0,-7.617059460923096,33.54117974729717,POINT (-7.617059460923096 33.54117974729717),morocco
662,208002693-1,,225000,False,substation,True,transmission,29820.0,-7.954666423661818,32.20693723797463,POINT (-7.954666423661818 32.20693723797463),morocco
663,166090341-1,,225000,False,substation,True,transmission,12240.0,-3.868985440696218,35.12513285221918,POINT (-3.868985440696218 35.12513285221918),morocco
665,271316486-1,,225000,False,substation,True,transmission,3340.0,-7.260401506445638,31.647797462324995,POINT (-7.260401506445638 31.64779746232499),morocco
667,131892127-1,,225000,False,substation,True,transmission,29280.0,-6.861916640608128,33.86232547399916,POINT (-6.861916640608128 33.86232547399916),morocco
669,143752299-1,,400000,False,substation,True,transmission,104750.0,-2.372006936180556,34.5853477539371,POINT (-2.372006936180556 34.5853477539371),morocco
670,143752299-2,,225000,False,substation,True,transmission,104750.0,-2.372006936180556,34.5853477539371,POINT (-2.372006936180556 34.5853477539371),morocco
671,834066918-1,,225000,False,substation,True,transmission,8130.0,-11.337953455463152,28.46935458843738,POINT (-11.33795345546315 28.46935458843738),morocco
672,95436126-1,,225000,False,substation,True,transmission,40370.0,-5.622818385653487,33.87587297935723,POINT (-5.622818385653487 33.87587297935723),morocco
674,144011974-1,,225000,False,substation,True,transmission,33260.0,-9.665879623744503,29.704108956953448,POINT (-9.665879623744503 29.70410895695345),morocco
675,93147473-1,,400000,False,substation,True,transmission,191400.0,-5.660849163846169,35.64671278880404,POINT (-5.660849163846169 35.64671278880404),morocco
676,93147473-2,,225000,False,substation,True,transmission,191400.0,-5.660849163846169,35.64671278880404,POINT (-5.660849163846169 35.64671278880404),morocco
677,749743475-1,,225000,False,substation,True,transmission,2790.0,-9.717551141995715,31.492861284206935,POINT (-9.717551141995715 31.49286128420693),morocco
678,97706499-1,,225000,False,substation,True,transmission,51960.0,-8.7163377256344,31.563463743955197,POINT (-8.7163377256344 31.5634637439552),morocco
679,207997682-1,,225000,False,substation,True,transmission,48300.0,-6.583608061670914,32.22232847165194,POINT (-6.583608061670914 32.22232847165194),morocco
680,207997682-2,,150000,False,substation,True,transmission,48300.0,-6.583608061670914,32.22232847165194,POINT (-6.583608061670914 32.22232847165194),morocco
681,131985550-1,,225000,False,substation,True,transmission,32890.0,-7.050952149999985,32.8945447,POINT (-7.050952149999985 32.8945447),morocco
682,143685412-1,,225000,False,substation,True,transmission,35060.0,-5.127608527204212,34.01593059392158,POINT (-5.127608527204212 34.01593059392158),morocco
683,131946012-1,,400000,False,substation,True,transmission,106330.0,-7.40023655838972,33.45325397021968,POINT (-7.40023655838972 33.45325397021968),morocco
684,131946012-2,,225000,False,substation,True,transmission,106330.0,-7.40023655838972,33.45325397021968,POINT (-7.40023655838972 33.45325397021968),morocco
685,131995387-1,,225000,False,substation,True,transmission,17000.0,-8.400012823279146,32.65063933780787,POINT (-8.400012823279146 32.65063933780787),morocco
687,292008278-1,,225000,False,substation,True,transmission,38080.0,-5.862653395175168,35.71509159914196,POINT (-5.862653395175168 35.71509159914196),morocco
688,215483520-1,,225000,False,substation,True,transmission,14700.0,-4.643603720035765,32.76113658581754,POINT (-4.643603720035765 32.76113658581754),morocco
690,143681023-1,,225000,False,substation,True,transmission,27110.0,-13.169828140725187,27.182368248133233,POINT (-13.16982814072519 27.18236824813323),morocco
692,215403934-1,,225000,False,substation,True,transmission,134390.0,-8.767518621850057,32.04018956053132,POINT (-8.767518621850057 32.04018956053132),morocco
693,163471767-1,,225000,False,substation,True,transmission,43280.0,-4.780568093985496,33.98567211074443,POINT (-4.780568093985496 33.98567211074443),morocco
694,131588990-1,,225000,False,substation,True,transmission,43990.0,-7.758979255617984,33.352708841410525,POINT (-7.758979255617984 33.35270884141053),morocco
696,216888489-1,,225000,False,substation,True,transmission,23190.0,-6.533104374005529,32.20780728780302,POINT (-6.533104374005529 32.20780728780302),morocco
697,280365436-1,,225000,False,substation,True,transmission,26070.0,-1.917400041380976,34.705526919317435,POINT (-1.917400041380976 34.70552691931744),morocco
698,108482559-1,,225000,False,substation,True,transmission,6110.0,-7.638857668242545,32.47737180194817,POINT (-7.638857668242545 32.47737180194817),morocco
699,131902940-1,,225000,False,substation,True,transmission,74700.0,-7.500383448537951,33.54233086230634,POINT (-7.500383448537951 33.54233086230634),morocco
700,251222750-1,,225000,False,substation,True,transmission,1420.0,-5.607272112139982,33.02730598190985,POINT (-5.607272112139982 33.02730598190985),morocco
701,250862291-1,,225000,False,substation,True,transmission,31840.0,-5.671662491922527,32.92200260244369,POINT (-5.671662491922527 32.92200260244369),morocco
703,94548360-1,,225000,False,substation,True,transmission,37420.0,-8.175616264601775,31.718767151898284,POINT (-8.175616264601775 31.71876715189828),morocco
704,143767119-1,,225000,False,substation,True,transmission,39380.0,-3.958334759386585,34.26874013584931,POINT (-3.958334759386585 34.26874013584931),morocco
706,664941154-1,,400000,False,substation,True,transmission,93970.0,-5.754472483053636,35.51099053141381,POINT (-5.754472483053636 35.51099053141381),morocco
707,664941154-2,,225000,False,substation,True,transmission,93970.0,-5.754472483053636,35.51099053141381,POINT (-5.754472483053636 35.51099053141381),morocco
708,250878457-1,,225000,False,substation,True,transmission,29880.0,-7.97701987741982,31.720675049973803,POINT (-7.97701987741982 31.7206750499738),morocco
709,249897127-1,,400000,False,substation,True,transmission,11150.0,-5.61382132872749,35.830958607591555,POINT (-5.61382132872749 35.83095860759155),morocco
710,131591106-1,,225000,False,substation,True,transmission,25950.0,-7.695812467105367,33.54998689850677,POINT (-7.695812467105367 33.54998689850677),morocco
713,167908818-1,,225000,False,substation,True,transmission,46490.0,-6.046977856865665,35.040274814846484,POINT (-6.046977856865665 35.04027481484648),morocco
714,182345278-1,,225000,False,substation,True,transmission,33950.0,-9.45500442422573,30.398915192656787,POINT (-9.455004424225731 30.39891519265679),morocco
715,218739270-1,,225000,False,substation,True,transmission,24520.0,-6.79769538018048,30.98360649493032,POINT (-6.79769538018048 30.98360649493032),morocco
716,131408509-1,,225000,False,substation,True,transmission,90960.0,-8.510718878483823,33.10033165627908,POINT (-8.510718878483823 33.10033165627908),morocco
717,167406532-1,,225000,False,substation,True,transmission,78410.0,-2.946958663384184,35.07381126322253,POINT (-2.946958663384184 35.07381126322253),morocco
718,251679143-1,,225000,False,substation,True,transmission,16490.0,-6.136710669376013,32.57066450382537,POINT (-6.136710669376013 32.57066450382537),morocco
719,144011573-1,,225000,False,substation,True,transmission,34850.0,-7.56553685786743,33.02377342372572,POINT (-7.56553685786743 33.02377342372572),morocco
722,285708473-1,,225000,False,substation,True,transmission,3770.0,-6.89416177804048,31.80210257198272,POINT (-6.89416177804048 31.80210257198272),morocco
723,131947753-1,,225000,False,substation,True,transmission,55960.0,-7.52500898325061,33.56265703957563,POINT (-7.52500898325061 33.56265703957563),morocco
724,408736809-1,,225000,False,substation,True,transmission,56700.0,-2.447170266886771,34.87248435235364,POINT (-2.447170266886771 34.87248435235364),morocco
726,200913450-1,,225000,False,substation,True,transmission,26910.0,-8.963101775249921,30.453122525855154,POINT (-8.963101775249921 30.45312252585515),morocco
727,131992905-1,,225000,False,substation,True,transmission,13590.0,-7.725819289219083,32.615513063561394,POINT (-7.725819289219083 32.61551306356139),morocco
728,286517638-1,,225000,False,substation,True,transmission,60350.0,-6.51664915000005,34.28132960000014,POINT (-6.51664915000005 34.28132960000014),morocco
729,216820526-1,,225000,False,substation,True,transmission,39990.0,-4.487996819783734,31.970094216566626,POINT (-4.487996819783734 31.97009421656663),morocco
731,323814593-1,,225000,False,substation,True,transmission,4400.0,-9.715183088598666,29.692535990006398,POINT (-9.715183088598666 29.6925359900064),morocco
732,216888494-1,,225000,False,substation,True,transmission,11810.0,-6.534528144170314,32.19628257695435,POINT (-6.534528144170314 32.19628257695435),morocco
733,207991977-1,,225000,False,substation,True,transmission,31510.0,-7.428976437834729,33.63439933614146,POINT (-7.428976437834729 33.63439933614146),morocco
734,313730157-1,,225000,False,substation,True,transmission,35240.0,-6.94038733686009,32.75309537189604,POINT (-6.94038733686009 32.75309537189604),morocco
735,208137370-1,,225000,False,substation,True,transmission,34030.0,-2.104963181321566,34.07172670378846,POINT (-2.104963181321566 34.07172670378846),morocco
737,167920552-1,,400000,False,substation,True,transmission,112410.0,-5.595593069328538,34.09754982354753,POINT (-5.595593069328538 34.09754982354753),morocco
