,id,lonlat,tags.power,tags.generator:type,tags.generator:method,tags.generator:source,tags.generator:output:electricity,Type,Country
116,7810362997,"[7.568405900000012, 4.5646990000000125]",generator,gas_turbine,combustion,gas,yes,Node,nigeria
117,4770511173,"[5.682609999999993, 6.407003900000013]",generator,gas_turbine,combustion,gas,112.5 MW,Node,nigeria
118,2344316152,"[5.608378400000033, 6.3300605]",generator,,,,,Node,nigeria
119,1995055439,"[5.577745699999987, 6.355757700000048]",generator,,,,,Node,nigeria
120,7808382707,"[5.6445693999999955, 5.927857899999995]",generator,gas_turbine,combustion,gas,112.5 MW,Node,nigeria
121,7804096569,"[5.91624390000001, 5.54188409999997]",generator,gas_turbine,combustion,gas,25 MW,Node,nigeria
122,2161110155,"[5.597931300000011, 6.30414339999999]",generator,,,,,Node,nigeria
123,2155733448,"[5.614189599999988, 6.317969200000003]",generator,,,,,Node,nigeria
124,2161110162,"[5.602609700000011, 6.308513099999991]",generator,,,,,Node,nigeria
125,7804103236,"[7.25299090000001, 4.851645399999971]",generator,gas_turbine,combustion,gas,yes,Node,nigeria
126,7804103318,"[3.614703200000009, 6.563480299999972]",generator,steam_turbine,combustion,gas,220 MW,Node,nigeria
127,2349477441,"[5.627861800000009, 6.337062699999986]",generator,,,,,Node,nigeria
128,2349397507,"[5.615897000000005, 6.334535399999986]",generator,,,,,Node,nigeria
129,2344305973,"[5.599796800000033, 6.343683100000002]",generator,,,,,Node,nigeria
130,2351090144,"[5.6236910000000115, 6.334827599999985]",generator,,,,,Node,nigeria
131,1994157719,"[5.624226000000002, 6.364519700000015]",generator,,,,,Node,nigeria
132,2349297924,"[5.612089100000003, 6.323340599999986]",generator,,,,,Node,nigeria
133,2161111047,"[5.6313961000000115, 6.332647899999992]",generator,,,,,Node,nigeria
134,2344433199,"[5.597681500000036, 6.321408099999998]",generator,,,,,Node,nigeria
135,2155735368,"[5.633640199999989, 6.3238335000000045]",generator,,,,,Node,nigeria
136,7804096568,"[5.91616240000001, 5.5418073999999695]",generator,gas_turbine,combustion,gas,25 MW,Node,nigeria
137,7804103205,"[3.3145356000000095, 6.880956699999972]",generator,gas_turbine,combustion,gas,yes,Node,nigeria
138,2344236547,"[5.594323100000036, 6.3273101999999986]",generator,,,,,Node,nigeria
139,2344554601,"[5.613792900000066, 6.32111990000001]",generator,,,,,Node,nigeria
140,7804103244,"[7.25441730000001, 4.851632599999973]",generator,gas_turbine,combustion,gas,yes,Node,nigeria
141,2344316150,"[5.608596200000033, 6.3317857]",generator,,,,,Node,nigeria
142,2155735128,"[5.629119299999989, 6.319435000000003]",generator,,,,,Node,nigeria
143,2155735367,"[5.630087699999989, 6.322445800000004]",generator,,,,,Node,nigeria
144,7814063308,"[6.737821699999987, 5.56530630000003]",generator,gas_turbine,combustion,gas,112.5 MW,Node,nigeria
145,7808481590,"[6.576293699999953, 5.710093600000172]",generator,combined_cycle,combustion,gas,480 MW,Node,nigeria
146,2161111059,"[5.618719700000011, 6.335037699999992]",generator,,,,,Node,nigeria
147,7804103213,"[3.3154947000000097, 6.885287399999972]",generator,combined_cycle,combustion,gas,yes,Node,nigeria
148,2161110169,"[5.599776300000011, 6.310825399999991]",generator,,,,,Node,nigeria
149,2344316149,"[5.6110329000000325, 6.3290373]",generator,,,,,Node,nigeria
150,2344468668,"[5.608117100000064, 6.343981100000009]",generator,,,,,Node,nigeria
151,7805160137,"[6.66342200000007, 5.390167099999769]",generator,gas_turbine,combustion,gas,25 MW,Node,nigeria
152,2350899889,"[5.619471100000013, 6.343985799999986]",generator,,,,,Node,nigeria
153,1994157747,"[5.629888300000002, 6.370588300000015]",generator,,,,,Node,nigeria
154,2155708896,"[5.621017999999989, 6.323543400000001]",generator,,,,,Node,nigeria
155,7804096567,"[5.9160400000000095, 5.5416920999999695]",generator,gas_turbine,combustion,gas,25 MW,Node,nigeria
156,7805126094,"[5.680814100000028, 6.409594599999834]",generator,gas_turbine,combustion,gas,153 MW,Node,nigeria
157,7238712294,"[8.165721499999997, 9.436025699999997]",generator,solar_photovoltaic_panel,photovoltaic,solar,yes,Node,nigeria
158,1995056210,"[5.574213799999986, 6.360926300000047]",generator,,,,,Node,nigeria
159,7808424231,"[6.660155399999953, 7.471567900000174]",generator,gas_turbine,combustion,gas,yes,Node,nigeria
160,2349477447,"[5.62618260000001, 6.340994999999986]",generator,,,,,Node,nigeria
161,7804096558,"[5.91495030000001, 5.53972199999997]",generator,gas_turbine,combustion,gas,100 MW,Node,nigeria
162,7805126095,"[5.680635700000027, 6.409886999999834]",generator,gas_turbine,combustion,gas,153 MW,Node,nigeria
163,7808382704,"[5.644145599999995, 5.927383899999994]",generator,gas_turbine,combustion,gas,75 MW,Node,nigeria
164,7814108835,"[7.5736081999999865, 4.56853070000003]",generator,gas_turbine,combustion,gas,yes,Node,nigeria
165,2161111058,"[5.629701100000012, 6.334855199999992]",generator,,,,,Node,nigeria
166,2344220904,"[5.602736800000039, 6.341276399999999]",generator,,,,,Node,nigeria
167,2344426873,"[5.590562200000034, 6.316437499999998]",generator,,,,,Node,nigeria
168,2161111060,"[5.588469400000012, 6.293066099999992]",generator,,,,,Node,nigeria
169,7814063309,"[6.737939699999987, 5.56494060000003]",generator,gas_turbine,combustion,gas,112.5 MW,Node,nigeria
170,7804096581,"[4.61136370000001, 9.86327599999997]",generator,kaplan_turbine,run-of-the-river,hydro,yes,Node,nigeria
171,2161110159,"[5.60429150000001, 6.30710759999999]",generator,,,,,Node,nigeria
172,7808382699,"[5.645018399999995, 5.925408799999994]",generator,steam_turbine,combustion,gas,120 MW,Node,nigeria
173,2161072730,"[5.625802500000008, 6.329310999999993]",generator,,,,,Node,nigeria
174,7804103211,"[3.3148563000000095, 6.883417999999972]",generator,gas_turbine,combustion,gas,yes,Node,nigeria
175,2344554610,"[5.618237200000066, 6.32763530000001]",generator,,,,,Node,nigeria
176,2350920105,"[5.6165130000000145, 6.3408465999999875]",generator,,,,,Node,nigeria
177,7804103245,"[7.2545385000000095, 4.851594599999973]",generator,gas_turbine,combustion,gas,yes,Node,nigeria
178,7808382698,"[5.645120899999995, 5.925203399999995]",generator,steam_turbine,combustion,gas,120 MW,Node,nigeria
179,2344280081,"[5.608865100000036, 6.336241899999999]",generator,,dam,hydro,,Node,nigeria
180,2350899895,"[5.618995000000012, 6.3539317999999865]",generator,,,hydro,,Node,nigeria
181,2155735127,"[5.627453899999988, 6.319232900000003]",generator,,,hydro,yes,Node,nigeria
182,2072662661,"[5.577382300000065, 6.358162999999949]",generator,,,,,Node,nigeria
183,2344328606,"[5.598471900000033, 6.3446451]",generator,,,,,Node,nigeria
184,1994157679,"[5.633400000000003, 6.381793600000015]",generator,,,,,Node,nigeria
185,2161110152,"[5.59991210000001, 6.294467599999991]",generator,,,,,Node,nigeria
186,7805160135,"[6.66315600000007, 5.39016929999977]",generator,gas_turbine,combustion,gas,25 MW,Node,nigeria
187,2350849581,"[5.61934080000001, 6.335945399999988]",generator,,,hydro,,Node,nigeria
188,7804103232,"[7.25280050000001, 4.8512257999999715]",generator,gas_turbine,combustion,gas,yes,Node,nigeria
189,1994157788,"[5.628901400000002, 6.376898000000015]",generator,,,,,Node,nigeria
190,7804096566,"[5.915968300000009, 5.54162469999997]",generator,gas_turbine,combustion,gas,25 MW,Node,nigeria
191,2161110165,"[5.604352900000011, 6.309296399999991]",generator,,,,,Node,nigeria
192,7804096583,"[4.789386700000009, 9.140183999999971]",generator,kaplan_turbine,run-of-the-river,hydro,96.4 MW,Node,nigeria
193,7804096564,"[5.915793200000009, 5.54145979999997]",generator,gas_turbine,combustion,gas,25 MW,Node,nigeria
194,2349297926,"[5.6173192000000025, 6.330028899999985]",generator,,,,,Node,nigeria
195,7808382706,"[5.644987799999996, 5.928052699999995]",generator,gas_turbine,combustion,gas,112.5 MW,Node,nigeria
196,2075846409,"[5.619478499999963, 6.3109008999999965]",generator,,water-storage,hydro,yes,Node,nigeria
197,2161110160,"[5.5970508000000105, 6.307722799999991]",generator,,,,,Node,nigeria
