,id,lonlat,tags.power,tags.substation,Type,Area,tags.voltage,tags.frequency,Country
314,615914993.0,"[7.846835912992103, 36.36300347297266]",substation,,Way,2680.0,66000,,algeria
317,695523467.0,"[4.470326304331981, 35.70365784940128]",substation,,Way,1200.0,66000,,algeria
319,590520330.0,"[0.7415188839771746, 35.71665950874913]",substation,substation,Way,4450.0,,,algeria
321,569616471.0,"[5.993802369612082, 34.701047872020986]",substation,transmission,Way,216410.0,400000;220000,50,algeria
322,624118770.0,"[2.6848271149772636, 36.627251897112096]",substation,,Way,3060.0,,,algeria
323,275595354.0,"[4.522382336249946, 36.67606067096331]",substation,,Way,4410.0,,,algeria
327,637288557.0,"[8.029115701824269, 30.82257089199516]",substation,transmission,Way,23450.0,220000,,algeria
328,382891698.0,"[5.369422922844486, 36.187268056735086]",substation,,Way,19180.0,66000,,algeria
330,263135249.0,"[4.575490685966172, 36.48323408363898]",substation,,Way,72480.0,,,algeria
332,694000727.0,"[6.331078557610845, 35.23480722059029]",substation,,Way,14250.0,66000,,algeria
333,382952440.0,"[3.4143380470914715, 33.104633404542845]",substation,,Way,2930.0,,,algeria
334,376841359.0,"[2.3609255499999993, 35.264085199999954]",substation,,Way,40390.0,,,algeria
335,381355308.0,"[4.482180822864601, 35.70547967928848]",substation,,Way,18410.0,66000,,algeria
336,424216027.0,"[1.3260628714449836, 35.35490356290776]",substation,,Way,32300.0,,,algeria
339,310628314.0,"[5.07160963268755, 34.43900749764582]",substation,,Way,60.0,30000,50,algeria
340,463283791.0,"[2.8602188999999933, 36.49157939999999]",substation,minor_distribution,Way,40.0,,,algeria
341,693987346.0,"[6.384096896727488, 36.18721004198852]",substation,,Way,3090.0,66000,,algeria
345,43762263.0,"[2.942067219235058, 33.760080507579445]",substation,,Way,200.0,,,algeria
347,217926710.0,"[6.486476139077318, 30.749995877364785]",substation,,Way,28780.0,220000;66000,,algeria
351,381446802.0,"[0.05418586429472858, 35.9076433049717]",substation,,Way,2040.0,,,algeria
353,295277014.0,"[5.734885851740122, 36.48971400613111]",substation,transmission,Way,45070.0,220000,50,algeria
355,389065305.0,"[-1.2977867893642612, 34.884989314772184]",substation,,Way,8930.0,,,algeria
356,173534563.0,"[7.736220197617386, 36.78961384587908]",substation,transmission,Way,134200.0,220000,,algeria
357,611552758.0,"[-0.3133497083621288, 35.80276773816737]",substation,,Way,46100.0,,,algeria
360,633289778.0,"[4.633544240534489, 35.69519390061577]",substation,,Way,3060.0,,,algeria
364,839766534.0,"[8.936171644799227, 28.701397799168237]",substation,,Way,2140.0,,,algeria
365,173985833.0,"[-0.2464994999999907, 35.805802750000026]",substation,,Way,1390.0,,,algeria
366,226392269.0,"[5.315668097343186, 35.84362255269056]",substation,transmission,Way,180870.0,400000;220000;66000,,algeria
371,377450818.0,"[1.8589832315900146, 35.62836335230273]",substation,transmission,Way,69840.0,,,algeria
373,102165228.0,"[3.0630396476093735, 36.72954274036734]",substation,,Way,520.0,,,algeria
374,226985195.0,"[3.246818526501276, 34.620161842018646]",substation,transmission,Way,113280.0,220000,,algeria
375,414644307.0,"[6.495423920548805, 35.536596805801786]",substation,,Way,18720.0,66000,,algeria
378,107655510.0,"[3.0781792731754503, 36.723930379592375]",substation,,Way,22930.0,220000,,algeria
379,375545559.0,"[-0.1754655228029306, 27.237578898958727]",substation,,Way,7620.0,,,algeria
382,333288492.0,"[0.16669199314238267, 34.86304015430555]",substation,transmission,Way,18150.0,,,algeria
386,382460563.0,"[2.715885955998618, 36.631409011869984]",substation,,Way,950.0,,,algeria
389,107614291.0,"[2.967475789294527, 36.73100537600805]",substation,,Way,27250.0,220000,,algeria
390,390296947.0,"[7.745227288633975, 36.911918937711455]",substation,,Way,10270.0,,,algeria
392,430925131.0,"[1.0794670500000143, 26.979631999999864]",substation,,Way,40.0,,,algeria
394,380169036.0,"[-0.08776395634646808, 35.55529361249497]",substation,,Way,14900.0,,,algeria
396,382699091.0,"[2.9398163215091584, 36.13574219175143]",substation,,Way,4190.0,,,algeria
399,611116103.0,"[3.4710996761964856, 36.74958439278336]",substation,,Way,5760.0,,,algeria
401,579750397.0,"[2.4156502063104046, 36.49191597708673]",substation,,Way,14610.0,,,algeria
408,292110924.0,"[1.3326577596860698, 26.994921375952835]",substation,,Way,45810.0,400000,50,algeria
410,569616485.0,"[5.887763799999999, 34.441609249999715]",substation,,Way,13640.0,400000,,algeria
411,472675109.0,"[2.899574294748664, 36.514808323791705]",substation,,Way,21640.0,,,algeria
413,417719010.0,"[7.75560927039067, 36.87913472078994]",substation,,Way,18500.0,,,algeria
417,261547610.0,"[4.868509383101916, 36.67785805862565]",substation,,Way,71730.0,,,algeria
420,175176155.0,"[6.671480936473967, 36.26028728897949]",substation,transmission,Way,92480.0,220000;66000,,algeria
423,173805804.0,"[-0.5707781954250373, 35.202342584422176]",substation,transmission,Way,93090.0,220000,,algeria
425,387413578.0,"[6.961095551130439, 33.29759348327557]",substation,,Way,31410.0,66000,,algeria
426,587777008.0,"[5.223090286899723, 34.736687043861636]",substation,transformer,Way,1690.0,60000,50,algeria
