,bus_id,station_id,voltage,dc,symbol,under_construction,tag_substation,tag_area,lon,lat,country,geometry
15029,15029,6961,220000,False,False,False,False,False,24.091253700000014,-30.713993400000724,south-africa,
15030,15030,11675,132000,False,False,False,False,False,29.493394,-25.797506900000027,south-africa,
15031,15031,6026,132000,False,False,False,False,False,19.843342800000144,-33.47271449999984,south-africa,
15032,15032,11130,275000,False,False,False,False,False,29.136376,-26.24277789999995,south-africa,
15033,15033,8341,132000,False,False,False,False,False,26.889826400000114,-27.970725,south-africa,
15034,15034,6772,132000,False,False,False,False,False,23.1353938,-28.29372489999995,south-africa,
15035,15035,14184,275000,False,False,False,False,False,31.161190899999987,-29.41681770000014,south-africa,
15036,15036,9675,400000,False,False,False,False,False,28.01200390000002,-25.965057500000082,south-africa,
15037,15037,11903,275000,False,False,False,False,False,29.78328240000006,-23.3742804,south-africa,
15038,15038,6835,275000,False,False,False,False,False,23.55543720000003,-27.73082410000003,south-africa,
15039,15039,12829,132000,False,False,False,False,False,30.3664421,-29.643633500000277,south-africa,
15040,15040,7603,220000,False,False,False,False,False,25.7448648,-33.440615100000045,south-africa,
15041,15041,12168,132000,False,False,False,False,False,29.9309742,-22.693278599999907,south-africa,
15042,15042,9140,132000,False,False,False,False,False,27.660826599999943,-26.431037800000503,south-africa,
15043,15043,12659,132000,False,False,False,False,False,30.228565300000014,-25.716748,south-africa,
15044,15044,12158,132000,False,False,False,False,False,29.9239562,-22.858897299999892,south-africa,
15045,15045,7476,132000,False,False,False,False,False,25.58107210000007,-27.649209499999948,south-africa,
15046,15046,12720,132000,False,False,False,False,False,30.3109961000001,-23.82394300000016,south-africa,
15047,15047,10319,132000,False,False,False,False,False,28.30915230000007,-26.213192900000067,south-africa,
15048,15048,11047,132000,False,False,False,False,False,29.108542200000073,-25.829271400000014,south-africa,
15049,15049,12327,400000,False,False,False,False,False,30.032269099999958,-24.42546059999992,south-africa,
15050,15050,10604,275000,False,False,False,False,False,28.53552430000002,-26.24323359999994,south-africa,
15051,15051,10922,132000,False,False,False,False,False,29.019083599999906,-24.16427889999998,south-africa,
15052,15052,11488,400000,False,False,False,False,False,29.357333700000044,-24.04402740000003,south-africa,
15053,15053,6470,132000,False,False,False,False,False,22.193513599999953,-34.0155794,south-africa,
15054,15054,12020,400000,False,False,False,False,False,29.846543499999957,-28.35638890000002,south-africa,
15055,15055,13425,132000,False,False,False,False,False,30.86439,-29.859686799999963,south-africa,
15056,15056,11396,132000,False,False,False,False,False,29.322851100000065,-22.4563311,south-africa,
15057,15057,9723,400000,False,False,False,False,False,28.0814775,-25.919046200000018,south-africa,
15058,15058,9712,400000,False,False,False,False,False,28.080249100000117,-25.920976999999816,south-africa,
15059,15059,5601,132000,False,False,False,False,False,18.53660630000001,-33.882812300000126,south-africa,
15060,15060,8569,400000,False,False,False,False,False,27.229315199999906,-24.966541399999976,south-africa,
15061,15061,6614,400000,False,False,False,False,False,22.95762539999998,-32.187675,south-africa,
15062,15062,13383,132000,False,False,False,False,False,30.833459100000063,-26.193766,south-africa,
15063,15063,8421,132000,False,False,False,False,False,27.034455,-29.18953470000009,south-africa,
15064,15064,12735,132000,False,False,False,False,False,30.3238884,-29.634953799999963,south-africa,
15065,15065,13004,132000,False,False,False,False,False,30.467601799999883,-23.004026700000015,south-africa,
15066,15066,12678,132000,False,False,False,False,False,30.2381571,-29.8759495,south-africa,
15067,15067,8953,400000,False,False,False,False,False,27.529774899999943,-25.40587419999999,south-africa,
15068,15068,5421,132000,False,False,False,False,False,18.048908,-32.98183020000015,south-africa,
15069,15069,11720,132000,False,False,False,False,False,29.5074793,-25.80998010000003,south-africa,
15070,15070,12616,132000,False,False,False,False,False,30.22197729999998,-24.720399600000032,south-africa,
15071,15071,7865,132000,False,False,False,False,False,26.1784578,-29.10727670000006,south-africa,
15072,15072,7124,132000,False,False,False,False,False,24.75520359999996,-27.00044870000001,south-africa,
15073,15073,7207,275000,False,False,False,False,False,24.88145269999991,-28.724351000000212,south-africa,
15074,15074,6766,132000,False,False,False,False,False,23.103415299999988,-28.051023899999954,south-africa,
15075,15075,8791,132000,False,False,False,False,False,27.45727569999994,-26.406026500000177,south-africa,
15076,15076,6486,132000,False,False,False,False,False,22.336556400000095,-33.95915300000069,south-africa,
15077,15077,7322,132000,False,False,False,False,False,25.4392955,-33.92770020000012,south-africa,
15078,15078,14388,132000,False,False,False,False,False,31.30098960000002,-24.74857080000021,south-africa,
15079,15079,14984,275000,False,False,False,False,False,32.03673950000007,-28.688538199999908,south-africa,
15080,15080,9428,132000,False,False,False,False,False,27.857377899999967,-32.903171,south-africa,
15081,15081,12140,400000,False,False,False,False,False,29.904960600000038,-30.607101200000074,south-africa,
15082,15082,9536,132000,False,False,False,False,False,27.907073,-32.93640979999998,south-africa,
15083,15083,7597,400000,False,False,False,False,False,25.7442881,-28.635923,south-africa,
15084,15084,13605,132000,False,False,False,False,False,30.92955129999988,-25.410352600000028,south-africa,
15085,15085,7846,132000,False,False,False,False,False,26.159919,-29.12471009999996,south-africa,
15086,15086,5641,132000,False,False,False,False,False,18.537682400000016,-33.88574860000012,south-africa,
15087,15087,10946,765000,False,False,False,False,False,29.086898900000016,-26.697535699999978,south-africa,
15088,15088,8375,132000,False,False,False,False,False,26.91970109999994,-28.0858528,south-africa,
15089,15089,10329,132000,False,False,False,False,False,28.325243599999904,-24.89028079999997,south-africa,
15090,15090,12674,132000,False,False,False,False,False,30.2309803,-25.65749820000053,south-africa,
15091,15091,6789,132000,False,False,False,False,False,23.22857039999989,-26.2905637,south-africa,
15092,15092,6334,132000,False,False,False,False,False,21.293998400000014,-28.431444500000065,south-africa,
15093,15093,11755,132000,False,False,False,False,False,29.550398300000044,-31.069058700000074,south-africa,
15094,15094,13193,132000,False,False,False,False,False,30.61925149999988,-25.88511790000018,south-africa,
15095,15095,9089,132000,False,False,False,False,False,27.6190347,-23.704931799999965,south-africa,
15096,15096,14983,275000,False,False,False,False,False,32.03670290000016,-28.688191500000276,south-africa,
15097,15097,9210,132000,False,False,False,False,False,27.735085799999982,-26.256802,south-africa,
15098,15098,12167,132000,False,False,False,False,False,29.9299126,-22.696912,south-africa,
15099,15099,12415,275000,False,False,False,False,False,30.0942421999999,-26.6164904,south-africa,
15100,15100,6853,275000,False,False,False,False,False,23.62440650000008,-28.331556400000345,south-africa,
15101,15101,9517,132000,False,False,False,False,False,27.8865679,-26.231455899999965,south-africa,
15102,15102,6600,132000,False,False,False,False,False,22.92969690000003,-27.59535,south-africa,
15103,15103,14965,132000,False,False,False,False,False,32.034903,-28.72367010000001,south-africa,
15104,15104,11585,132000,False,False,False,False,False,29.421937199999828,-25.938189300000072,south-africa,
15105,15105,8001,132000,False,False,False,False,False,26.440843599999752,-31.264013900000165,south-africa,
15106,15106,10265,132000,False,False,False,False,False,28.2899717,-25.791081499999954,south-africa,
15107,15107,13599,132000,False,False,False,False,False,30.9264638,-29.79793909999983,south-africa,
15108,15108,7576,132000,False,False,False,False,False,25.720584100000018,-32.145780100000195,south-africa,
15109,15109,11364,132000,False,False,False,False,False,29.30529599999983,-26.091657,south-africa,
15110,15110,6605,132000,False,False,False,False,False,22.938426100000022,-27.59535,south-africa,
15111,15111,7996,132000,False,False,False,False,False,26.424223299999888,-24.626708300000058,south-africa,
15112,15112,5775,132000,False,False,False,False,False,18.69978440000003,-33.80457200000013,south-africa,
15113,15113,11621,132000,False,False,False,False,False,29.467075800000057,-24.031003699999864,south-africa,
15114,15114,11036,400000,False,False,False,False,False,29.10468239999986,-25.83371490000019,south-africa,
15115,15115,9740,132000,False,False,False,False,False,28.08348730000012,-25.603468199999934,south-africa,
15116,15116,6036,400000,False,False,False,False,False,19.99457,-33.07799569999985,south-africa,
15117,15117,9771,132000,False,False,False,False,False,28.1010904,-25.564096699999933,south-africa,
15118,15118,11139,275000,False,False,False,False,False,29.136757,-26.28105230000002,south-africa,
15119,15119,14071,132000,False,False,False,False,False,31.10903869999994,-23.9453355,south-africa,
15120,15120,11166,400000,False,False,False,False,False,29.14048050000007,-26.28355570000002,south-africa,
15121,15121,12139,132000,False,False,False,False,False,29.90495039999997,-30.60766470000047,south-africa,
15122,15122,13145,132000,False,False,False,False,False,30.606636400000113,-29.142481999999884,south-africa,
15123,15123,9878,132000,False,False,False,False,False,28.1376406,-26.127280600000017,south-africa,
15124,15124,11358,132000,False,False,False,False,False,29.301807099999973,-25.0056542,south-africa,
15125,15125,13377,275000,False,False,False,False,False,30.833078899999958,-29.7834514,south-africa,
15126,15126,9962,132000,False,False,False,False,False,28.17660619999998,-25.891898499999844,south-africa,
15127,15127,6521,132000,False,False,False,False,False,22.355911,-33.7648489,south-africa,
15128,15128,8258,400000,False,False,False,False,False,26.807113499999986,-28.723694799999755,south-africa,
15129,15129,8176,132000,False,False,False,False,False,26.782778500000067,-26.901767800000695,south-africa,
15130,15130,7574,400000,False,False,False,False,False,25.706229499999985,-28.722480900000726,south-africa,
15131,15131,10343,132000,False,False,False,False,False,28.326619,-24.89026259999997,south-africa,
15132,15132,6325,132000,False,False,False,False,False,21.2748352,-33.11220189999992,south-africa,
15133,15133,10131,132000,False,False,False,False,False,28.2457433,-25.89367719999981,south-africa,
15134,15134,5782,132000,False,False,False,False,False,18.703836699999986,-34.026519099999796,south-africa,
15135,15135,9836,275000,False,False,False,False,False,28.114220799999963,-26.229813200000038,south-africa,
15136,15136,14619,132000,False,False,False,False,False,31.527269499999974,-25.493982,south-africa,
15137,15137,13045,400000,False,False,False,False,False,30.500675900000072,-29.181497799999985,south-africa,
15138,15138,13252,132000,False,False,False,False,False,30.664852200000144,-29.77635669999985,south-africa,
15139,15139,14895,275000,False,False,False,False,False,31.94589739999998,-28.766063099999982,south-africa,
15140,15140,7131,132000,False,False,False,False,False,24.780280699999956,-26.987004,south-africa,
15141,15141,9430,132000,False,False,False,False,False,27.857399399999967,-32.90304349999997,south-africa,
